name,replanning_count_0,runtime,sim_step_count,task_percent_complete,task_state_success
object_semantics-object_semantics_history-history,36.0,1219.000589132309,6765.0,0.8333333333333333,0.5
object_semantics-object_semantics_history-preference,34.0,668.7872341473898,2069.3333333333335,0.9166666666666666,0.6666666666666666
object_semantics-object_semantics_history-ownership,23.0,421.02969205379486,1729.0,0.7,0.5
object_semantics-object_semantics_group-preference,33.0,1072.3378098011017,6876.0,1.0,1.0
object_semantics-user_pattern_history-preference,30.8,889.674442577362,3448.8,0.8666666666666666,0.6
object_semantics-user_pattern_history-routine,24.0,340.6114723682404,1602.0,0.6666666666666666,0.0
object_semantics-user_pattern_group-preference,28.333333333333332,579.0318135420481,2301.3333333333335,0.5380952380952381,0.0
object_semantics-user_pattern_preference-preference,31.0,616.1344752311707,2714.0,0.8,0.0
object_semantics-user_pattern_preference-routine,28.0,673.0376441478729,3574.0,1.0,1.0
object_semantics-user_pattern_ownership-preference,10.0,241.321551322937,1201.0,0.0,0.0
user_pattern-user_pattern_preference-preference,23.857142857142858,479.73094064848766,2920.285714285714,0.5829931972789116,0.2857142857142857
user_pattern-user_pattern_preference-routine,23.333333333333332,578.0582927068075,3663.0,0.16666666666666663,0.0
user_pattern-user_pattern_routine-routine,28.0,731.7520617246628,3253.0,0.369047619047619,0.0
object_semantics-object_semantics_total,31.625,794.8450093269348,3759.0,0.8520833333333333,0.625
object_semantics-user_pattern_total,27.666666666666668,671.3810663819313,2769.9166666666665,0.7011904761904763,0.3333333333333333
user_pattern-user_pattern_total,24.416666666666668,546.3162988424301,3161.4166666666665,0.4432539682539683,0.16666666666666666
total_results,27.75,663.8869506518046,3198.75,0.6458333333333335,0.3333333333333333
