name,replanning_count_0,runtime,sim_step_count,task_percent_complete,task_state_success
object_semantics-object_semantics_history-history,33.5,803.2194931507112,5934.5,1.0,1.0
object_semantics-object_semantics_history-preference,31.0,530.6098725795746,1875.3333333333333,0.8888888888888888,0.6666666666666666
object_semantics-object_semantics_history-ownership,22.5,289.2665333747864,2127.5,0.7,0.5
object_semantics-object_semantics_group-preference,23.0,1252.8045740127563,4464.0,0.4,0.0
object_semantics-user_pattern_history-preference,20.8,509.83879346847533,3951.8,0.7466666666666667,0.2
object_semantics-user_pattern_history-routine,22.0,109.88413977622986,1450.0,0.6666666666666666,0.0
object_semantics-user_pattern_group-preference,23.666666666666668,336.4422646363576,2664.6666666666665,0.6492063492063492,0.0
object_semantics-user_pattern_preference-preference,28.0,577.2146441936493,2983.0,1.0,1.0
object_semantics-user_pattern_preference-routine,28.0,562.8650369644165,3543.0,1.0,1.0
object_semantics-user_pattern_ownership-preference,19.0,265.1379075050354,2772.0,0.0,0.0
user_pattern-user_pattern_preference-preference,22.142857142857142,343.6293913296291,2657.4285714285716,0.5251700680272109,0.2857142857142857
user_pattern-user_pattern_preference-routine,20.666666666666668,716.8048324584961,4772.0,0.7777777777777778,0.6666666666666666
user_pattern-user_pattern_routine-routine,24.0,405.7690066099167,3093.0,0.5357142857142857,0.0
object_semantics-object_semantics_total,28.5,628.7007806003094,3276.75,0.8083333333333333,0.625
object_semantics-user_pattern_total,22.666666666666668,422.8018741408984,3208.4166666666665,0.6956349206349207,0.25
user_pattern-user_pattern_total,22.083333333333332,447.27985415856045,3258.6666666666665,0.5900793650793651,0.3333333333333333
total_results,24.22222222222222,471.79978770017624,3226.6111111111113,0.698941798941799,0.3888888888888889
