name,replanning_count_0,runtime,sim_step_count,task_percent_complete,task_state_success
object_semantics-object_semantics_history-history,37.5,458.33334255218506,5736.0,0.41666666666666663,0.0
object_semantics-object_semantics_history-preference,38.666666666666664,347.1742004553477,1862.0,0.5912698412698413,0.0
object_semantics-object_semantics_history-ownership,24.5,246.97403120994568,2988.5,0.2,0.0
object_semantics-object_semantics_group-preference,33.0,693.9001970291138,4460.0,0.6,0.0
object_semantics-user_pattern_history-preference,31.0,541.1314359664917,6007.2,0.5700000000000001,0.2
object_semantics-user_pattern_history-routine,16.0,81.17084074020386,993.0,0.3333333333333333,0.0
object_semantics-user_pattern_group-preference,21.666666666666668,140.2567799091339,1864.3333333333333,0.46507936507936504,0.0
object_semantics-user_pattern_preference-preference,35.0,253.77736616134644,2773.0,0.8,0.0
object_semantics-user_pattern_preference-routine,15.0,151.76916813850403,2331.0,0.375,0.0
object_semantics-user_pattern_ownership-preference,17.0,124.00104141235352,1295.0,0.0,0.0
user_pattern-user_pattern_preference-preference,21.142857142857142,183.19960127558028,2566.4285714285716,0.14285714285714285,0.0
user_pattern-user_pattern_preference-routine,16.0,426.20361081759137,3213.6666666666665,0.1111111111111111,0.0
user_pattern-user_pattern_routine-routine,20.0,172.44284057617188,2208.0,0.21428571428571425,0.0
object_semantics-object_semantics_total,34.125,393.2546932399273,3436.875,0.45089285714285715,0.0
object_semantics-user_pattern_total,25.25,311.42882800102234,3585.0833333333335,0.47946428571428573,0.08333333333333333
user_pattern-user_pattern_total,19.666666666666668,242.15781021118164,2668.5,0.14682539682539683,0.0
total_results,26.166666666666668,302.9859858751297,3244.3888888888887,0.3326388888888889,0.027777777777777776
